frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
6,broadcast,player_01,1550,711,1651,833,1601.1553,772.41296,0.9321153163909912,player
9,broadcast,player_01,1536,721,1642,845,1589.4716,783.3844,0.9214645624160767,player
12,broadcast,player_01,1534,717,1635,843,1584.9169,780.5037,0.9291769862174988,player
15,broadcast,player_01,1534,715,1639,837,1587.4482,776.436,0.9345296025276184,player
18,broadcast,player_01,1537,712,1611,840,1574.8627,776.87585,0.931587278842926,player
21,broadcast,player_01,1543,705,1640,827,1591.9713,766.5223,0.9259844422340393,player
24,broadcast,player_01,1533,707,1623,830,1578.3641,769.019,0.9187427163124084,player
27,broadcast,player_01,1524,702,1592,829,1558.4194,765.7938,0.9298937916755676,player
30,broadcast,player_01,1509,699,1594,819,1551.9316,759.2385,0.9280483722686768,player
33,broadcast,player_01,1498,699,1557,821,1527.7803,760.43604,0.9197333455085754,player
36,broadcast,player_01,1486,691,1562,816,1524.4436,753.74316,0.9199448227882385,player
39,broadcast,player_01,1464,691,1540,810,1502.4224,751.2383,0.9164406061172485,player
42,broadcast,player_01,1459,693,1527,814,1493.5598,753.7892,0.913163959980011,player
45,broadcast,player_01,1466,688,1529,809,1498.1599,748.7969,0.9130621552467346,player
48,broadcast,player_01,1448,692,1524,812,1486.5216,752.6537,0.9300498366355896,player
51,broadcast,player_01,1449,693,1500,816,1474.803,755.2894,0.9190536737442017,player
54,broadcast,player_01,1434,693,1518,812,1476.4994,753.23486,0.9316151142120361,player
57,broadcast,player_01,1425,696,1508,813,1466.9927,755.0464,0.9335017204284668,player
60,broadcast,player_01,1424,695,1472,816,1448.5857,756.0467,0.9161140322685242,player
63,broadcast,player_01,1397,692,1473,814,1435.8977,753.277,0.9356107115745544,player
66,broadcast,player_01,1391,696,1447,816,1419.5392,756.33527,0.9349111318588257,player
69,broadcast,player_01,1382,698,1436,816,1409.7147,757.3955,0.9245893955230713,player
72,broadcast,player_01,1355,690,1444,811,1399.8776,750.8666,0.9319667220115662,player
75,broadcast,player_01,1359,694,1432,812,1396.2218,753.24023,0.9114393591880798,player
78,broadcast,player_01,1375,690,1421,812,1398.3597,751.378,0.9006878733634949,player
81,broadcast,player_01,1377,688,1440,809,1408.7903,748.8654,0.9224324226379395,player
84,broadcast,player_01,1409,691,1462,810,1436.2043,750.9219,0.8982299566268921,player
87,broadcast,player_01,1435,689,1492,812,1464.1194,750.92377,0.9195467829704285,player
90,broadcast,player_01,1462,693,1529,813,1495.7954,753.4109,0.9278820753097534,player
93,broadcast,player_01,1506,698,1552,818,1529.5499,758.0885,0.9152814745903015,player
96,broadcast,player_01,1534,702,1579,825,1556.8755,764.04675,0.9129876494407654,player
99,broadcast,player_01,1541,710,1598,835,1570.1342,772.6095,0.9148149490356445,player
102,broadcast,player_01,1562,719,1611,843,1586.9052,781.6661,0.9045937657356262,player
105,broadcast,player_01,1575,718,1623,846,1599.1062,782.68805,0.9057998657226562,player
108,broadcast,player_01,1564,725,1629,854,1597.0217,789.6956,0.9352417588233948,player
111,broadcast,player_01,1564,736,1644,863,1604.4846,799.7708,0.9337237477302551,player
114,broadcast,player_01,1584,740,1657,869,1620.873,805.09607,0.9333801865577698,player
117,broadcast,player_01,1594,741,1647,873,1620.6467,807.24976,0.9159879684448242,player
120,broadcast,player_01,1588,743,1649,879,1618.9043,811.84296,0.918442964553833,player
123,broadcast,player_01,1566,749,1644,883,1605.4167,816.5676,0.9386531710624695,player
6,broadcast,player_02,833,617,899,719,866.90216,668.17413,0.9250931739807129,player
9,broadcast,player_02,817,570,878,670,847.81146,620.7561,0.9069231152534485,player
9,broadcast,player_02,844,613,897,727,870.891,670.5514,0.8779036998748779,player
12,broadcast,player_02,853,609,926,717,889.89294,663.65375,0.9086450934410095,player
12,broadcast,player_02,827,568,881,662,854.7911,615.711,0.9081568121910095,player
15,broadcast,player_02,837,568,894,665,866.39886,616.8738,0.8985413908958435,player
15,broadcast,player_02,863,610,914,719,888.9381,665.2037,0.8819606304168701,player
18,broadcast,player_02,872,610,927,718,899.9771,664.2647,0.8986101150512695,player
21,broadcast,player_02,866,614,945,710,906.02216,662.9536,0.9327555894851685,player
21,broadcast,player_02,857,559,917,653,887.4853,606.5185,0.8937974572181702,player
24,broadcast,player_02,886,555,931,641,909.22595,598.8515,0.8787330389022827,player
27,broadcast,player_02,881,595,935,705,908.28955,650.7164,0.9223775863647461,player
30,broadcast,player_02,875,592,940,701,907.6862,646.81165,0.9008740186691284,player
33,broadcast,player_02,879,595,923,701,901.6659,648.27496,0.8888586759567261,player
36,broadcast,player_02,881,588,935,698,908.5565,643.72595,0.9060633182525635,player
