frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
5,broadcast,player_01,1555,709,1640,840,1598.2561,774.72986,0.9278213381767273,player
10,broadcast,player_01,1536,722,1631,847,1583.7836,784.76605,0.9116243720054626,player
15,broadcast,player_01,1534,715,1639,837,1587.4482,776.436,0.9345296025276184,player
20,broadcast,player_01,1543,707,1634,834,1588.9413,771.1575,0.9300540685653687,player
25,broadcast,player_01,1527,706,1590,829,1559.085,768.2252,0.8989508152008057,player
25,broadcast,player_01,1553,708,1612,808,1583.0438,758.5497,0.5670955777168274,player
30,broadcast,player_01,1509,699,1594,819,1551.9316,759.2385,0.9280483722686768,player
35,broadcast,player_01,1492,694,1556,820,1524.2781,757.2462,0.9251273274421692,player
40,broadcast,player_01,1464,694,1532,812,1498.8492,753.3402,0.9132447838783264,player
45,broadcast,player_01,1466,688,1529,809,1498.1599,748.7969,0.9130621552467346,player
50,broadcast,player_01,1448,695,1505,814,1476.7529,755.1491,0.9200474619865417,player
55,broadcast,player_01,1425,694,1521,808,1473.4487,751.6748,0.9317794442176819,player
60,broadcast,player_01,1424,695,1472,816,1448.5857,756.0467,0.9161140322685242,player
65,broadcast,player_01,1389,697,1458,814,1424.2288,756.31604,0.9335405826568604,player
70,broadcast,player_01,1376,691,1440,817,1408.5103,754.39075,0.9336655735969543,player
75,broadcast,player_01,1359,694,1432,812,1396.2218,753.24023,0.9114393591880798,player
80,broadcast,player_01,1378,686,1433,809,1406.0973,748.3004,0.926798403263092,player
85,broadcast,player_01,1420,690,1472,811,1446.4675,751.3513,0.9113357067108154,player
90,broadcast,player_01,1462,693,1529,813,1495.7954,753.4109,0.9278820753097534,player
95,broadcast,player_01,1525,700,1572,824,1548.5876,762.26245,0.9140617847442627,player
100,broadcast,player_01,1551,715,1603,838,1577.5668,777.0914,0.9083101749420166,player
105,broadcast,player_01,1575,718,1623,846,1599.1062,782.68805,0.9057998657226562,player
110,broadcast,player_01,1562,733,1638,861,1600.3724,797.61694,0.9314111471176147,player
115,broadcast,player_01,1589,740,1654,869,1622.2299,805.0725,0.9323230981826782,player
120,broadcast,player_01,1588,743,1649,879,1618.9043,811.84296,0.918442964553833,player
125,broadcast,player_01,1562,752,1637,888,1599.847,820.5038,0.926103949546814,player
5,broadcast,player_02,599,752,659,886,629.67804,819.4684,0.9259033799171448,player
10,broadcast,player_02,623,752,667,882,645.5182,817.5097,0.89445561170578,player
15,broadcast,player_02,637,739,690,866,664.1486,802.936,0.9060389399528503,player
